Year,Country,Sector,Financing ,Name,Amount
2024,Maldives ,Other ,Sovereign ,Maldives: Strengthening Fiscal Management and Sustainability Program ,Approved Financing: USD15 million 
,,,,,
2024,Türkiye ,Energy ,Nonsovereign ,Türkiye: İçtaş Enerji YEKA Erzin-II Hatay 100MW Solar PV Project ,Approved Financing: USD32.5 million 
,,,,,
2024,Türkiye ,Transport ,Sovereign ,Türkiye: Türkiye Emergency Road Rehabilitation and Reconstruction Project ,Approved Financing: USD200 million 
,,,,,
2024,China ,Education Infrastructure ,Nonsovereign ,China: Yantai Higher Vocational School Project ,Approved Financing: USD95 million 
,,,,,
2024,India ,Transport ,Sovereign ,India: Kochi Metro Rail Project - Phase II ,Approved Financing: USD122.32 million 
,,,,,
2024,Viet Nam ,Multi-sector ,Nonsovereign ,Viet Nam: Supporting infrastructure development and climate financing in Viet Nam with second facility with VPBank ,Approved Financing: USD150 million 
,,,,,
2024,Tajikistan ,Transport ,Sovereign ,Tajikistan: Obigarm- Nurobod Road Project – Long Bridge and Approaches ,Approved Financing: USD75.5 million 
,,,,,
2024,Bangladesh ,Energy ,Sovereign ,Bangladesh: Southern Chattogram and Kaliakoir Transmission Infrastructure Development Project ,Approved Financing: USD160 million 
,,,,,
2024,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: Patria Infrastructure Fund V ,Approved Financing: USD100 million 
,,,,,
2024,Singapore ,Multi-sector ,Nonsovereign ,Singapore: Project Merlion ,Approved Financing: USD350 million 
,,,,,
2024,Bangladesh ,Other ,Sovereign ,Bangladesh: Climate Resilient Inclusive Development Program (Subprogram 1) ,Approved Financing: USD400 million 
,,,,,
2024,Hungary ,Energy ,Nonsovereign ,Hungary: OTP Green Energy Capacity Expansion Bond Investment ,Approved Financing: USD200 million 
,,,,,
2024,Kazakhstan ,Health Infrastructure ,Nonsovereign ,Kazakhstan: Kokshetau PPP Hospital Project ,Approved Financing: USD113.90 million 
,,,,,
2024,Viet Nam ,Multi-sector ,Nonsovereign ,Viet Nam: Supporting green and blue infrastructure development and capital market in Viet Nam ,Approved Financing: USD75 million 
,,,,,
2024,China ,Multi-sector ,Nonsovereign ,China: JC Leasing Green and Blue Loan ,Approved Financing: USD100 million 
,,,,,
2024,Uzbekistan ,Multi-sector ,Nonsovereign ,Uzbekistan: Asakabank Energy Efficiency and Renewables Facility ,Approved Financing: USD30 million 
,,,,,
2024,Thailand ,Energy ,Nonsovereign ,Thailand: GULF Renewable Power Project ,Approved Financing: USD170 million 
,,,,,
2024,Philippines ,Transport ,Sovereign ,Philippines: Bataan-Cavite Interlink Bridge Project and Tranche 1 ,Approved Financing: USD350 million 
,,,,,
2024,India ,Multi-sector ,Nonsovereign ,India: NIIF PMF II ,Approved Financing: USD125 million 
,,,,,
2024,India ,Energy ,Nonsovereign ,India: ENGIE Solar Power Project ,Approved Financing: USD88.5 million 
,,,,,
2024,Rwanda ,Energy ,Sovereign ,Rwanda: Accelerating Sustainable and Clean Energy Transformation (ASCENT) Rwanda ,Approved Financing: USD100 million 
,,,,,
2024,Türkiye ,Other ,Nonsovereign ,Türkiye: Smart Solar Manufacturing Project ,Approved Financing: USD30 million 
,,,,,
2024,Türkiye ,Transport ,Nonsovereign ,Türkiye: Antalya Airport Expansion Project (Upsize Facility) ,Approved Financing: EUR75 million 
,,,,,
2024,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: Actis Asia Climate Transition Fund ,Approved Financing: USD100 million 
,,,,,
2024,Türkiye ,Energy ,Nonsovereign ,Türkiye: Uludağ Electricity Distribution Network Upgrade and Modernization Project ,Approved Financing: USD28 million 
,,,,,
2024,Bangladesh ,Urban ,Sovereign ,Bangladesh: Bangladesh Integrated Solid Waste Management Improvement Project ,Approved Financing: USD200 million 
,,,,,
2023,China ,Multi-sector ,Nonsovereign ,China: GL Capital China Opportunities Fund IV ,Approved Financing: USD25 million 
,,,,,
2023,Türkiye ,Urban ,Sovereign ,Türkiye: Istanbul Seismic Mitigation and Emergency Preparedness Additional Financing Project ,Approved Financing: EUR150 million 
,,,,,
2023,India ,Transport ,Sovereign ,India: Chennai Peripheral Ring Road (Sections 2 and 3) ,Approved Financing: USD378 million 
,,,,,
2023,India ,Energy ,Nonsovereign ,India: Project Meridian ,Approved Financing: USD73 million 
,,,,,
2023,Pakistan ,CRF-Economic Resilience/PBF ,Sovereign ,Pakistan: Second Resilient Institutions for Sustainable Economy (RISE-II) Development Policy Financing ,Approved Financing: USD250 million 
,,,,,
2023,Indonesia ,Health Infrastructure ,Sovereign ,Indonesia: Modernization of the Health System ,Approved Financing: USD999 million 
,,,,,
