Project Number,Country,Financing,Project Type or Modality,Approval Date,ADB Financing (US$),Geographical Location,Sector
34304-043,Nepal,Sovereign,Loan,16/09/2011,"170,000,000.00","Anamnagar, Arubari, Bagbazar, Balaju, Balkhu, Bansbari, Bansbari, Bhaktapur, Bode, Chabahil, Chakupat, Chyasal, Dilli Bazaar, Ekantakuna, Gabahal, Gaushala, Ghattekulo, Gokarna, Guhyeshwari, Gyaneshwar, Kathmandu District, Khumaltar, Kupandole, Lagan Tole, Lagankhel, Lainchaur, Lalitpur, Mahadev Khola, MahankalChaur2, Maitidevi, Mangal Bazaar, Naksal, Narayan Gopal Chowk, Nayan Baneshwar, Pulchowk, Putalisadak, Sankha Park, Singha Durbar, Sundhara, Tangal, Teku, Thapathali, Tinkune, Tripureshwor",Water and other urban infrastructure and services
34418-013,Bangladesh,Sovereign,Grant | Loan,23/11/2005,"65,000,000.00","Faridpur District, Gopalganj District, Jessore District, Magura District, Narail District, Rajbari District","Agriculture, natural resources and rural development"
34418-023,Bangladesh,Sovereign,Grant | Loan,30/09/2015,"45,000,000.00","Faridpur, Gopalganj, Magura, Rajbari","Agriculture, natural resources and rural development"
34418-024,Bangladesh,Sovereign,Technical Assistance,22/11/2021,"1,000,000.00","Gopalganj, Kotalipara Upazila, Tungipara","Agriculture, natural resources and rural development"
35173-015,Nepal,Sovereign,Loan,26/09/2018,"130,000,000.00",Nation-wide,Water and other urban infrastructure and services
35182-043,Indonesia,Sovereign,Loan,30/09/2016,"108,700,000.00","Banten, Provinsi Maluku","Agriculture, natural resources and rural development"
36200-023,Bangladesh,Sovereign,Loan | Technical Assistance,19/01/2016,"200,000,000.00",Dhaka,Finance
37075-023,Afghanistan,Sovereign,Grant,06/12/2017,"330,000,000.00",,Transport
37113-013,Bangladesh,Sovereign,Grant | Loan,11/08/2011,"300,000,000.00","Ashuganj, Barisal, Chittagong, Dhaka, Hatiya, Kaptai, Khulna, Rajshahi, Sylhet",Energy
37113-014,Bangladesh,Sovereign,Grant,05/07/2018,0,Nation-wide,Energy
37337-012,Bangladesh,Sovereign,Technical Assistance,,"2,000,000.00",Dhaka,Transport
