,country,year,ccode,start,end,group_visit,group_order,group_id,leader,leader_id,office,url,last_accessed,meeting,note
0,Kazakhstan,1998,KAZ,July 3 1998,July 4 1998,0.0,1.0,1.0,Jiang Zemin,1.0,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1998/chufang/1998hasakesitan/cf0008.html,January 9 2022,Shanghai Cooperation Organization,
1,Russian Federation,1998,RUS,November 22 1998,November 25 1998,1.0,1.0,2.0,Jiang Zemin,1.0,President,https://www.fmprc.gov.cn/chn/pds/ziliao/1179/t5416.htm,January 9 2022,,
2,Japan,1998,JPN,November 25 1998,November 30 1998,1.0,2.0,2.0,Jiang Zemin,1.0,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1998/chufang/1998eluosi/cf0367.html,January 9 2022,,
3,Italy,1999,ITA,March 20 1999,March 25 1999,1.0,1.0,3.0,Jiang Zemin,1.0,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1999/chufang/1999yidali/cf0005.html,January 9 2022,,
4,Switzerland,1999,CHE,March 25 1999,March 27 1999,1.0,2.0,3.0,Jiang Zemin,1.0,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1999/chufang/1999ruishi/cf0007.html,January 9 2022,,
5,Austria,1999,AUT,March 27 1999,March 30 1999,1.0,3.0,3.0,Jiang Zemin,1.0,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1999/chufang/1999aodili/cf0005.html,January 9 2022,,
6,Mongolia,1999,MNG,July 15 1999,July 17 1999,0.0,1.0,4.0,Jiang Zemin,1.0,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1999/chufang/1999mengguo/cf0010.html,January 9 2022,,
7,Thailand,1999,THA,September 2 1999,September 6 1999,1.0,1.0,5.0,Jiang Zemin,1.0,President,http://www.chinanews.com.cn//1999-9-10/26/378.html,January 9 2022,,
8,Australia,1999,AUS,September 6 1999,September 11 1999,1.0,2.0,5.0,Jiang Zemin,1.0,President,http://www.chinanews.com.cn//1999-9-10/26/389.html,January 9 2022,,
9,New Zealand,1999,NZL,September 11 1999,September 16 1999,1.0,3.0,5.0,Jiang Zemin,1.0,President,http://www.chinanews.com.cn//1999-9-17/26/1150.html,January 9 2022,Asia-Pacific Economic Cooperation,
10,United Kingdom,1999,GBR,October 18 1999,October 22 1999,1.0,1.0,6.0,Jiang Zemin,1.0,President,http://www.people.com.cn/item/xwqrx/1999/10-25/a114.html,January 9 2022,,
11,France,1999,FRA,October 22 1999,October 26 1999,1.0,2.0,6.0,Jiang Zemin,1.0,President,http://www.peopledaily.com.cn/item/ldhd/Jiangzm/1999/chufang/1999ofy/ofy011.html,January 9 2022,,
12,Portugal,1999,PRT,October 26 1999,October 27 1999,1.0,3.0,6.0,Jiang Zemin,1.0,President,http://www.people.com.cn/rmrb/199910/27/newfiles/col_19991027001001_ldxz.html,January 9 2022,,
13,Morocco,1999,MAR,October 27 1999,October 30 1999,1.0,4.0,6.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/1999-10/31/GB/GM%5E18226%5E3%5EGM3-3103.HTM,January 9 2022,,
14,Algeria,1999,DZA,October 30 1999,October 31 1999,1.0,5.0,6.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/1999-10/31/GB/GM%5E18226%5E1%5EGM1-3105.HTM,January 9 2022,,
15,Saudi Arabia,1999,SAU,October 31 1999,November 3 1999,1.0,6.0,6.0,Jiang Zemin,1.0,President,http://www.people.com.cn/item/jcfoyf/stalb.html,January 9 2022,,
16,Israel,2000,ISR,April 12 2000,April 18 2000,1.0,1.0,7.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2000-04/13/GB/04%5E18389%5E0%5EGMA1-109.htm,January 9 2022,Visit to Palestine & Meeting with Mubarak in Egypt,
17,Turkey,2000,TUR,April 18 2000,April 21 2000,1.0,2.0,7.0,Jiang Zemin,1.0,President,https://www.fmprc.gov.cn/chn/pds/ziliao/1179/t6365.htm,January 9 2022,,
18,Greece,2000,GRC,April 21 2000,April 24 2000,1.0,3.0,7.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2000-04/22/GB/04%5E18398%5E0%5EGMA1-205.htm,January 9 2022,,
19,South Africa,2000,ZAF,April 24 2000,April 27 2000,1.0,4.0,7.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2000-04/28/GB/04%5E18404%5E0%5EGMA1-210.htm,January 9 2022,,
20,Tajikistan,2000,TJK,July 3 2000,July 5 2000,1.0,1.0,8.0,Jiang Zemin,1.0,President,https://www.fmprc.gov.cn/chn/pds/wjdt/wsrc/t8337.htm,January 9 2022,Shanghai Cooperation Organization,
21,Turkmenistan,2000,TKM,July 5 2000,July 7 2000,1.0,2.0,8.0,Jiang Zemin,1.0,President,https://www.fmprc.gov.cn/chn/pds/wjdt/wsrc/t8337.htm,January 9 2022,,
22,Lao People's Dem.Rep,2000,LAO,November 11 2000,November 13 2000,1.0,1.0,9.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2000-11/12/GB/11%5E18602%5E0%5EGMA1-112.htm,January 9 2022,,
23,Cambodia,2000,KHM,November 13 2000,November 14 2000,1.0,2.0,9.0,Jiang Zemin,1.0,President,http://news.cctv.com/lm/808/-1/59791.html,January 9 2022,,
24,Brunei Darussalam,2000,BRN,November 14 2000,November 18 2000,1.0,3.0,9.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2000-11/19/GB/11%5E18609%5E0%5EGMA1-119.htm,January 9 2022,APEC Economic Leaders' Meeting,
25,Chile,2001,CHL,April 5 2001,April 7 2001,1.0,1.0,10.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2001-04/06/GB/04%5E18743%5E0%5EGMA1-009.htm,January 9 2022,,
26,Argentina,2001,ARG,April 7 2001,April 10 2001,1.0,2.0,10.0,Jiang Zemin,1.0,President,http://www.people.com.cn/GB/shizheng/252/4929/4934/index.html,January 9 2022,,
27,Uruguay,2001,URY,April 10 2001,April 11 2001,1.0,3.0,10.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2001-04/12/GB/04%5E18749%5E0%5EGMB4-105.htm,January 9 2022,,
28,Brazil,2001,BRA,April 11 2001,April 12 2001,1.0,4.0,10.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2001-04/13/GB/04%5E18750%5E0%5EGMA1-117.htm,January 9 2022,,
29,Cuba,2001,CUB,April 12 2001,April 15 2001,1.0,5.0,10.0,Jiang Zemin,1.0,President,http://zqb.cyol.com/content/2001-04/14/content_205517.htm,January 9 2022,,
30,"Venezuela, Rep. Bol.",2001,VEN,April 15 2001,April 17 2001,1.0,6.0,10.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2001-04/19/GB/04%5E18756%5E0%5EGMA1-108.htm,January 9 2022,,
31,Russian Federation,2001,RUS,July 15 2001,July 18 2001,1.0,1.0,11.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2001-07/16/01-EE79C5E2C626DD9348256A8A00805589.htm,January 9 2022,,
32,Belarus,2001,BLR,July 18 2001,July 19 2001,1.0,2.0,11.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2001-07/20/03-E6162B64D60E6A7448256A8F00000A83.htm,January 9 2022,,
33,Moldova,2001,MDA,July 19 2001,July 20 2001,1.0,3.0,11.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2001-07/20/01-0148DDDB45ACCA3748256A8E008161CD.htm,January 9 2022,,
34,Ukraine,2001,UKR,July 20 2001,July 23 2001,1.0,4.0,11.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2001-07/21/01-E6EAC2658DF0C7C348256A9100377786.htm,January 9 2022,,
35,Malta,2001,MLT,July 23 2001,July 25 2001,1.0,5.0,11.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2001-07/24/01-BBC2E29B638DF81148256A9200819769.htm,January 9 2022,,
36,North Korea,2001,PRK,September 3 2001,September 5 2001,0.0,1.0,12.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2001-09/04/01-03B76A597E3D81DC48256ABC008028F1.htm,January 9 2022,,
37,Myanmar,2001,MMR,December 12 2001,December 15 2001,0.0,1.0,13.0,Jiang Zemin,1.0,President,http://www.xinhuanet.com//world/ztbd/jzmcfmd/index.htm,January 9 2022,,
38,Vietnam,2002,VNM,February 27 2002,March 1 2002,0.0,1.0,14.0,Jiang Zemin,1.0,President,https://www.chinanews.com.cn/zhuanti/vietnam/,January 9 2022,,
39,Germany,2002,DEU,April 8 2002,April 13 2002,1.0,1.0,15.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2002-04/09/01-E5DED668DB68B33B48256B950080EB9C.htm,January 9 2022,,
40,Libya,2002,LBY,April 13 2002,April 14 2002,1.0,2.0,15.0,Jiang Zemin,1.0,President,https://www.gmw.cn/01gmrb/2002-04/14/02-CE21022E171803B648256B9B000889A8.htm,January 9 2022,,
41,Nigeria,2002,NGA,April 14 2002,April 16 2002,1.0,3.0,15.0,Jiang Zemin,1.0,President,http://www.cntv.cn/lm/808/-1/59780.html,January 9 2022,,
