Row,session,NVotes,ideal_point,ccode
1,1,42,1.675486,USA
2,2,38,1.923798,USA
3,3,103,1.904049,USA
4,4,63,1.779051,USA
5,5,53,1.61656,USA
6,6,25,1.720651,USA
7,7,49,1.899213,USA
8,8,25,1.496423,USA
9,9,30,1.221738,USA
10,10,27,1.859342,USA
11,11,60,1.044011,USA
12,12,34,1.058067,USA
13,13,33,1.107943,USA
14,14,54,1.538331,USA
15,15,103,1.39348,USA
16,16,73,1.661928,USA
17,17,46,1.998292,USA
18,18,31,1.772929,USA
19,20,40,2.052214,USA
20,21,50,2.150988,USA
21,22,57,2.426986,USA
22,23,51,2.295532,USA
23,24,43,2.119463,USA
24,25,67,2.171009,USA
25,26,119,1.767618,USA
26,27,100,2.135975,USA
27,28,91,2.195541,USA
28,29,73,2.077391,USA
29,30,69,2.360075,USA
30,31,85,2.750583,USA
31,32,90,2.313392,USA
32,33,124,2.295686,USA
33,34,121,2.354093,USA
34,35,103,2.450686,USA
35,36,133,2.767644,USA
36,37,158,2.654563,USA
37,38,149,2.653316,USA
38,39,151,2.84451,USA
39,40,152,2.85444,USA
40,41,151,2.985282,USA
41,42,140,3.070334,USA
42,43,133,3.068073,USA
43,44,114,3.15064,USA
44,45,84,3.06766,USA
45,46,72,2.977167,USA
46,47,73,3.000798,USA
47,48,64,2.955602,USA
48,49,68,3.009216,USA
49,50,81,3.130082,USA
50,51,74,3.14783,USA
51,52,72,2.983911,USA
52,53,64,2.814332,USA
53,54,68,2.681448,USA
54,55,67,2.664088,USA
55,56,69,2.655105,USA
56,57,75,2.733395,USA
57,58,76,2.902368,USA
58,59,72,2.819677,USA
59,60,74,2.889729,USA
60,61,92,2.81137,USA
61,62,79,2.743266,USA
62,63,76,2.737774,USA
63,64,68,2.54631,USA
64,65,67,2.519054,USA
65,66,68,2.496376,USA
66,67,69,2.58958,USA
67,68,64,2.676666,USA
68,69,79,2.668466,USA
69,70,73,2.592322,USA
70,71,78,2.53694,USA
71,72,90,2.680102,USA
72,73,95,2.786768,USA
73,74,91,2.694793,USA
74,1,41,1.813532,CAN
75,2,38,2.204363,CAN
76,3,103,1.81212,CAN
77,4,63,1.511111,CAN
78,5,53,1.81204,CAN
79,6,25,2.012349,CAN
80,7,49,2.016864,CAN
81,8,25,1.478856,CAN
82,9,30,1.609524,CAN
83,10,27,1.577494,CAN
84,11,60,1.39595,CAN
85,12,34,1.509986,CAN
86,13,33,1.411564,CAN
87,14,54,0.8799102,CAN
88,15,103,0.9899614,CAN
89,16,74,1.466101,CAN
90,17,46,1.557843,CAN
91,18,31,1.594403,CAN
92,20,40,1.737737,CAN
93,21,50,1.823971,CAN
94,22,57,1.789801,CAN
95,23,51,1.56089,CAN
96,24,44,1.676366,CAN
97,25,67,1.57288,CAN
98,26,119,1.341656,CAN
99,27,102,1.61661,CAN
100,28,91,1.394657,CAN
101,29,73,1.464829,CAN
102,30,69,1.531376,CAN
103,31,87,1.670342,CAN
104,32,90,1.81649,CAN
105,33,127,1.833025,CAN
106,34,122,1.854243,CAN
107,35,102,1.919212,CAN
108,36,134,1.832857,CAN
109,37,158,1.718262,CAN
110,38,149,1.733941,CAN
111,39,151,1.814331,CAN
112,40,155,1.78433,CAN
113,41,154,1.688463,CAN
114,42,144,1.683279,CAN
115,43,133,1.560789,CAN
116,44,114,1.542593,CAN
117,45,84,1.486563,CAN
118,46,73,1.475129,CAN
119,47,73,1.444081,CAN
120,48,64,1.317475,CAN
121,49,68,1.384412,CAN
122,50,81,1.25515,CAN
123,51,74,1.329422,CAN
124,52,72,1.180249,CAN
125,53,64,1.24562,CAN
126,54,68,1.209008,CAN
127,55,67,1.142757,CAN
128,56,69,1.231791,CAN
129,57,75,1.174815,CAN
130,58,76,1.164748,CAN
131,59,70,1.3431,CAN
132,60,75,1.305276,CAN
133,61,92,1.441997,CAN
134,62,79,1.602941,CAN
135,63,75,1.635369,CAN
136,64,68,1.609274,CAN
137,65,68,1.545271,CAN
138,66,68,1.884444,CAN
139,67,68,1.955828,CAN
140,68,64,1.936181,CAN
141,69,80,1.910389,CAN
142,70,72,1.799162,CAN
143,71,78,1.580445,CAN
144,72,90,1.500174,CAN
145,73,95,1.431728,CAN
146,74,91,1.416297,CAN
147,28,37,0.6459045,BHS
148,29,51,0.6561252,BHS
149,30,36,1.073977,BHS
150,31,82,0.7361336,BHS
151,32,85,0.5743142,BHS
152,33,127,0.5842216,BHS
153,34,118,0.198419,BHS
154,35,97,0.2496124,BHS
155,36,131,0.189863,BHS
156,37,144,0.1982495,BHS
157,38,146,0.3470854,BHS
158,39,144,0.2930548,BHS
159,40,150,0.3347772,BHS
160,41,149,0.3625025,BHS
161,42,143,0.1765512,BHS
162,43,128,0.2121522,BHS
163,44,114,0.06813167,BHS
164,45,86,0.03842761,BHS
165,46,75,-0.2482562,BHS
166,47,56,-0.2832835,BHS
167,48,65,-0.1487027,BHS
168,49,67,0.050565,BHS
169,50,77,0.2576074,BHS
170,51,70,0.01433122,BHS
171,52,68,-0.1061515,BHS
172,53,60,-0.1860995,BHS
173,54,63,-0.2042185,BHS
174,55,66,-0.3217911,BHS
175,56,59,-0.2034418,BHS
176,57,73,-0.3216035,BHS
177,58,69,-0.2975226,BHS
178,59,69,-0.4600855,BHS
179,60,70,-0.5334513,BHS
180,61,91,-0.1751756,BHS
181,62,79,-0.1686313,BHS
182,63,70,-0.2513563,BHS
183,64,65,-0.4109356,BHS
184,65,66,-0.3343833,BHS
185,66,66,-0.3061167,BHS
186,67,67,-0.3362766,BHS
187,68,62,-0.2996793,BHS
188,69,76,-0.3258674,BHS
189,70,65,-0.4497947,BHS
190,71,77,-0.4671765,BHS
191,72,85,-0.5099566,BHS
192,73,93,-0.2997456,BHS
193,74,88,-0.3206178,BHS
194,1,40,1.398826,CUB
195,2,38,1.003785,CUB
196,3,91,0.7289649,CUB
197,4,63,0.622852,CUB
198,5,53,0.3969969,CUB
199,6,25,0.5187378,CUB
200,7,49,0.8168877,CUB
201,8,25,0.9173901,CUB
202,9,30,0.7400832,CUB
203,10,27,1.694262,CUB
204,11,60,1.111237,CUB
205,12,32,1.065236,CUB
206,13,33,1.108039,CUB
207,14,54,-0.2075793,CUB
208,15,103,-1.951148,CUB
209,16,74,-2.109082,CUB
210,17,34,-2.144775,CUB
211,18,29,-2.621464,CUB
212,20,40,-2.28869,CUB
213,21,44,-2.054756,CUB
214,22,57,-1.385379,CUB
215,23,34,-1.40907,CUB
216,24,42,-0.04943393,CUB
217,25,62,-1.975598,CUB
218,26,118,-1.549552,CUB
219,27,91,-1.683748,CUB
220,28,87,-2.04501,CUB
221,29,72,-2.233509,CUB
222,30,68,-1.76546,CUB
223,31,80,-1.662089,CUB
224,32,89,-1.703208,CUB
225,33,126,-1.456268,CUB
226,34,121,-1.202002,CUB
227,35,96,-1.424895,CUB
228,36,133,-1.549758,CUB
229,37,155,-1.389769,CUB
230,38,148,-1.390432,CUB
231,39,151,-1.542635,CUB
232,40,152,-1.618621,CUB
233,41,152,-1.479283,CUB
234,42,142,-1.521331,CUB
235,43,135,-1.334171,CUB
