ccode,year,amount_count,amount_volume,loan_count,loan_volume,fdi_count,fdi_volume,region
COK,2020,1.0,20.0,,,,,Oceania
MNG,2020,1.0,100.0,2.0,260.3373065,0.0,0.0,Asia
MNG,2021,1.0,21.0,,,0.0,0.0,Asia
MNG,2022,1.0,100.0,,,,,Asia
AZE,2016,1.0,600.0,,,0.0,0.0,Asia
AZE,2021,1.0,100.0,3.0,50.98666666666667,0.0,0.0,Asia
TUR,2018,2.0,400.0,16.0,177.35781651687498,0.0,0.0,Europe
TUR,2019,3.0,233.33333333333334,30.0,185.62893162833333,1.0,1320.0,Europe
TUR,2020,4.0,184.65,11.0,91.4773493609091,0.0,0.0,Europe
TUR,2021,5.0,187.0,18.0,480.09177455833316,0.0,0.0,Europe
TUR,2022,3.0,166.66666666666666,,,,,Europe
TUR,2023,5.0,138.33333333333331,,,,,Europe
TUR,2024,5.0,74.76666666666667,,,,,Europe
KHM,2019,1.0,75.0,5.0,376.433940402,1.0,1950.0,Asia
KHM,2020,1.0,60.0,5.0,209.30581780000003,2.0,1860.0,Asia
KHM,2022,3.0,75.0,,,,,Asia
KHM,2023,1.0,33.0,,,,,Asia
THA,2024,1.0,170.0,,,,,Asia
LAO,2019,1.0,40.0,2.0,1920.0,0.0,0.0,Asia
LAO,2020,1.0,30.0,3.0,123.34600888666667,1.0,2400.0,Asia
LAO,2022,1.0,150.0,,,,,Asia
RWA,2021,2.0,100.0,,,0.0,0.0,Africa
RWA,2024,1.0,100.0,,,,,Africa
KGZ,2020,1.0,50.0,,,0.0,0.0,Asia
HKG,2023,1.0,300.0,,,,,Asia
SGP,2019,1.0,54.0,,,3.0,750.0,Asia
SGP,2021,1.0,80.0,,,0.0,0.0,Asia
SGP,2022,1.0,80.0,,,,,Asia
SGP,2023,2.0,75.0,,,,,Asia
SGP,2024,1.0,350.0,,,,,Asia
OMN,2016,1.0,265.0,4.0,363.75,0.0,0.0,Middle East
OMN,2017,1.0,152.1,4.0,905.431818,0.0,0.0,Middle East
OMN,2020,1.0,60.0,1.0,150.0,0.0,0.0,Middle East
TJK,2016,1.0,27.5,4.0,95.331075,0.0,0.0,Asia
TJK,2017,1.0,60.0,3.0,36.93483923666667,0.0,0.0,Asia
TJK,2024,1.0,75.5,,,,,Asia
BRA,2022,1.0,100.0,,,,,America
BRA,2023,2.0,125.0,,,,,America
ROU,2023,1.0,111.11111111111111,,,,,Europe
FJI,2020,1.0,50.0,,,0.0,0.0,Oceania
FJI,2022,1.0,50.0,,,,,Oceania
MMR,2016,1.0,20.0,2.0,50.8775,1.0,2100.0,Asia
MDV,2020,2.0,23.65,,,0.0,0.0,Asia
MDV,2021,1.0,20.0,,,0.0,0.0,Asia
MDV,2024,1.0,15.0,,,,,Asia
CIV,2022,1.0,100.0,,,,,Africa
CIV,2023,1.0,200.0,,,,,Africa
HUN,2021,1.0,216.1,,,0.0,0.0,Europe
HUN,2024,1.0,200.0,,,,,Europe
IDN,2016,1.0,216.5,20.0,303.79602930550004,3.0,570.0,Asia
IDN,2017,2.0,112.5,36.0,183.2457055411111,3.0,1350.0,Asia
IDN,2018,2.0,249.2,19.0,125.16180248210524,1.0,2460.0,Asia
IDN,2020,3.0,383.3333333333333,19.0,95.1936939226316,3.0,1730.0,Asia
IDN,2021,2.0,405.0,6.0,114.44444399999999,0.0,0.0,Asia
IDN,2022,1.0,230.0,,,,,Asia
IDN,2023,3.0,666.3333333333334,,,,,Asia
BGD,2016,1.0,165.0,11.0,259.7813878372727,1.0,780.0,Asia
BGD,2017,1.0,60.0,5.0,303.686951014,1.0,110.0,Asia
BGD,2018,1.0,60.0,8.0,769.67756728875,2.0,2490.0,Asia
BGD,2019,2.0,110.0,5.0,762.154180112,1.0,790.0,Asia
BGD,2020,6.0,220.66666666666666,3.0,818.857,0.0,0.0,Asia
BGD,2021,3.0,270.0,3.0,502.18250000000006,1.0,300.0,Asia
BGD,2022,3.0,186.66666666666666,,,,,Asia
BGD,2023,2.0,237.5,,,,,Asia
BGD,2024,3.0,253.33333333333334,,,,,Asia
ECU,2022,1.0,50.0,,,,,America
IND,2017,5.0,214.8,1.0,80.0,0.0,0.0,Asia
IND,2018,5.0,229.0,,,2.0,570.0,Asia
IND,2019,4.0,205.0,4.0,20.972024384999997,1.0,690.0,Asia
IND,2020,4.0,487.5,1.0,90.90909091,1.0,100.0,Asia
IND,2021,9.0,216.18555555555557,,,0.0,0.0,Asia
IND,2022,9.0,209.94444444444446,,,,,Asia
IND,2023,6.0,186.625,,,,,Asia
IND,2024,3.0,111.94,,,,,Asia
GEO,2017,1.0,114.0,1.0,15.0,0.0,0.0,Asia
GEO,2020,2.0,75.0,,,0.0,0.0,Asia
GEO,2021,1.0,100.0,,,0.0,0.0,Asia
GEO,2023,1.0,30.0,,,,,Asia
NPL,2019,2.0,101.15,1.0,63.93410275,1.0,150.0,Asia
VNM,2020,1.0,100.0,10.0,43.6891665,0.0,0.0,Asia
VNM,2021,1.0,47.5,6.0,25.470238095,0.0,0.0,Asia
VNM,2024,2.0,112.5,,,,,Asia
ARG,2023,1.0,65.0,,,,,America
PHL,2017,1.0,207.6,4.0,161.25,0.0,0.0,Asia
PHL,2020,1.0,750.0,,,0.0,0.0,Asia
PHL,2021,1.0,300.0,3.0,130.72641269666667,0.0,0.0,Asia
PHL,2023,5.0,410.0,,,,,Asia
PHL,2024,1.0,350.0,,,,,Asia
JOR,2021,1.0,250.0,,,1.0,160.0,Middle East
JOR,2023,1.0,200.0,,,,,Middle East
LKA,2019,2.0,140.0,6.0,395.86650000000003,0.0,0.0,Asia
LKA,2021,1.0,180.0,3.0,786.8412241000001,0.0,0.0,Asia
PAK,2016,2.0,200.0,13.0,494.05629132384615,4.0,2680.0,Asia
PAK,2019,2.0,55.905,9.0,527.3,2.0,1090.0,Asia
PAK,2020,2.0,375.0,9.0,613.8145149233334,1.0,1230.0,Asia
PAK,2021,2.0,225.0,9.0,448.9888888888889,0.0,0.0,Asia
PAK,2022,1.0,500.0,,,,,Asia
PAK,2023,1.0,250.0,,,,,Asia
UZB,2019,1.0,82.0,9.0,273.29056857555554,1.0,140.0,Asia
UZB,2020,3.0,216.86666666666667,5.0,143.879710144,0.0,0.0,Asia
UZB,2021,2.0,100.0,4.0,164.51875,0.0,0.0,Asia
UZB,2022,3.0,295.46666666666664,,,,,Asia
UZB,2023,4.0,272.5,,,,,Asia
UZB,2024,1.0,30.0,,,,,Asia
EGY,2017,1.0,210.0,10.0,416.22227803899995,0.0,0.0,Africa
EGY,2018,1.0,300.0,7.0,385.1257176885714,1.0,180.0,Africa
EGY,2019,1.0,150.0,4.0,2340.25,0.0,0.0,Africa
EGY,2021,1.0,360.0,3.0,298.48484848333334,2.0,690.0,Africa
EGY,2022,1.0,277.77777777777777,,,,,Africa
EGY,2023,2.0,150.0,,,,,Africa
KAZ,2019,1.0,46.7,8.0,287.047866685,1.0,560.0,Asia
KAZ,2020,1.0,750.0,8.0,103.23160937624999,0.0,0.0,Asia
KAZ,2023,2.0,195.0,,,,,Asia
KAZ,2024,1.0,113.9,,,,,Asia
