类别：所有类别

周,pornhub: (全球)
2019-11-24,73
2019-12-01,74
2019-12-08,74
2019-12-15,77
2019-12-22,83
2019-12-29,78
2020-01-05,79
2020-01-12,74
2020-01-19,73
2020-01-26,73
2020-02-02,73
2020-02-09,76
2020-02-16,80
2020-02-23,74
2020-03-01,75
2020-03-08,78
2020-03-15,85
2020-03-22,100
2020-03-29,88
2020-04-05,90
2020-04-12,84
2020-04-19,82
2020-04-26,81
2020-05-03,80
2020-05-10,77
2020-05-17,84
2020-05-24,81
2020-05-31,82
2020-06-07,86
2020-06-14,77
2020-06-21,84
2020-06-28,88
2020-07-05,80
2020-07-12,80
2020-07-19,84
2020-07-26,82
2020-08-02,79
2020-08-09,84
2020-08-16,83
2020-08-23,83
2020-08-30,81
2020-09-06,79
2020-09-13,78
2020-09-20,77
2020-09-27,85
2020-10-04,77
2020-10-11,77
2020-10-18,80
2020-10-25,82
2020-11-01,78
2020-11-08,79
2020-11-15,77
2020-11-22,77
2020-11-29,79
2020-12-06,82
2020-12-13,78
2020-12-20,81
2020-12-27,79
2021-01-03,74
2021-01-10,74
2021-01-17,72
2021-01-24,69
2021-01-31,70
2021-02-07,66
2021-02-14,64
2021-02-21,70
2021-02-28,65
2021-03-07,64
2021-03-14,65
2021-03-21,66
2021-03-28,68
2021-04-04,65
2021-04-11,61
2021-04-18,67
2021-04-25,65
2021-05-02,68
2021-05-09,69
2021-05-16,65
2021-05-23,68
2021-05-30,71
2021-06-06,69
2021-06-13,68
2021-06-20,70
2021-06-27,65
2021-07-04,71
2021-07-11,69
2021-07-18,74
2021-07-25,68
2021-08-01,70
2021-08-08,72
2021-08-15,71
2021-08-22,69
2021-08-29,68
2021-09-05,68
2021-09-12,70
2021-09-19,66
2021-09-26,66
2021-10-03,64
2021-10-10,69
2021-10-17,72
2021-10-24,66
2021-10-31,67
2021-11-07,66
2021-11-14,64
2021-11-21,62
2021-11-28,66
2021-12-05,70
2021-12-12,69
2021-12-19,67
2021-12-26,68
2022-01-02,53
2022-01-09,54
2022-01-16,49
2022-01-23,49
2022-01-30,56
2022-02-06,51
2022-02-13,47
2022-02-20,47
2022-02-27,45
2022-03-06,44
2022-03-13,46
2022-03-20,46
2022-03-27,46
2022-04-03,47
2022-04-10,49
2022-04-17,46
2022-04-24,49
2022-05-01,51
2022-05-08,51
2022-05-15,51
2022-05-22,51
2022-05-29,51
2022-06-05,54
2022-06-12,54
2022-06-19,57
2022-06-26,54
2022-07-03,55
2022-07-10,54
2022-07-17,57
2022-07-24,53
2022-07-31,55
2022-08-07,53
2022-08-14,56
2022-08-21,53
2022-08-28,51
2022-09-04,50
2022-09-11,53
2022-09-18,52
2022-09-25,51
2022-10-02,53
2022-10-09,53
2022-10-16,52
2022-10-23,51
2022-10-30,51
2022-11-06,50
2022-11-13,50
2022-11-20,48
2022-11-27,50
2022-12-04,50
2022-12-11,53
2022-12-18,54
2022-12-25,57
2023-01-01,53
2023-01-08,49
2023-01-15,49
2023-01-22,50
2023-01-29,50
2023-02-05,51
2023-02-12,50
2023-02-19,51
2023-02-26,50
2023-03-05,50
2023-03-12,50
2023-03-19,52
2023-03-26,49
2023-04-02,51
2023-04-09,49
2023-04-16,52
2023-04-23,53
2023-04-30,51
2023-05-07,52
2023-05-14,52
2023-05-21,53
2023-05-28,52
2023-06-04,54
2023-06-11,53
2023-06-18,56
2023-06-25,53
2023-07-02,56
2023-07-09,55
2023-07-16,55
2023-07-23,53
2023-07-30,55
2023-08-06,54
2023-08-13,58
2023-08-20,55
2023-08-27,55
2023-09-03,53
2023-09-10,49
2023-09-17,50
2023-09-24,53
2023-10-01,52
2023-10-08,49
2023-10-15,51
2023-10-22,52
2023-10-29,51
2023-11-05,50
2023-11-12,51
2023-11-19,51
2023-11-26,51
2023-12-03,50
2023-12-10,51
2023-12-17,58
2023-12-24,57
2023-12-31,51
2024-01-07,55
2024-01-14,53
2024-01-21,56
2024-01-28,56
2024-02-04,55
2024-02-11,55
2024-02-18,56
2024-02-25,58
2024-03-03,56
2024-03-10,53
2024-03-17,56
2024-03-24,56
2024-03-31,58
2024-04-07,57
2024-04-14,58
2024-04-21,59
2024-04-28,58
2024-05-05,58
2024-05-12,59
2024-05-19,57
2024-05-26,58
2024-06-02,56
2024-06-09,61
2024-06-16,59
2024-06-23,59
2024-06-30,58
2024-07-07,59
2024-07-14,59
2024-07-21,60
2024-07-28,59
2024-08-04,58
2024-08-11,60
2024-08-18,60
2024-08-25,59
2024-09-01,59
2024-09-08,57
2024-09-15,59
2024-09-22,55
2024-09-29,57
2024-10-06,56
2024-10-13,57
2024-10-20,59
2024-10-27,56
2024-11-03,57
2024-11-10,59
2024-11-17,59
2024-11-24,60
