year,ccode,"wb_amount"
2015,AFG,369722000
2015,ALB,1019530000
2015,DZA,1117000
2015,ASM,..
2015,AND,..
2015,AGO,929183000
2015,ATG,..
2015,ARG,5851771000
2015,ARM,1651510000
2015,ABW,..
2015,AUS,..
2015,AUT,..
2015,AZE,2095530000
2015,BHS,..
2015,BHR,..
2015,BGD,11533583000
2015,BRB,..
2015,BLR,641812000
2015,BEL,..
2015,BLZ,14130000
2015,BEN,680457000
2015,BMU,..
2015,BTN,183425000
2015,BOL,734655000
2015,BIH,1550809000
2015,BWA,131361000
2015,BRA,15753003000
2015,VGB,..
2015,BRN,..
2015,BGR,785901000
2015,BFA,1038398000
2015,BDI,150608000
2015,CPV,357366000
2015,KHM,541486000
2015,CMR,798099000
2015,CAN,..
2015,CYM,..
2015,CAF,58642000
2015,TCD,187166000
2015,CHI,..
2015,CHL,..
2015,CHN,17047891000
2015,COL,8610106000
2015,COM,13535000
2015,COD,841085000
2015,COG,109795000
2015,CRI,601507000
2015,CIV,394318000
2015,HRV,..
2015,CUB,..
2015,CUW,..
2015,CYP,..
2015,CZE,..
2015,DNK,..
2015,DJI,129902000
2015,DMA,25516000
2015,DOM,931924000
2015,ECU,256733000
2015,EGY,5597458000
2015,SLV,921318000
2015,GNQ,..
2015,ERI,432889000
2015,EST,..
2015,SWZ,21787000
2015,ETH,4753164000
2015,FRO,..
2015,FJI,..
2015,FIN,..
2015,FRA,..
2015,PYF,..
2015,GAB,46410000
2015,GMB,55021000
2015,GEO,1848600000
2015,DEU,..
2015,GHA,3284863000
2015,GIB,..
2015,GRC,..
2015,GRL,..
2015,GRD,89788000
2015,GUM,..
2015,GTM,1765416000
2015,GIN,186017000
2015,GNB,53028000
2015,GUY,20436000
2015,HTI,..
2015,HND,965348000
2015,HKG,..
2015,HUN,..
2015,ISL,..
2015,IND,36508609000
2015,IDN,16044062000
2015,IRN,438026000
2015,IRQ,1757642000
2015,IRL,..
2015,IMN,..
2015,ISR,..
2015,ITA,..
2015,JAM,825535000
2015,JPN,..
2015,JOR,1549605000
2015,KAZ,3261017000
2015,KEN,4381759000
2015,KIR,..
2015,PRK,..
2015,KOR,..
2015,XKX,228547000
2015,KWT,..
2015,KGZ,652061000
2015,LAO,511270000
2015,LVA,..
2015,LBN,189123000
2015,LSO,283652000
2015,LBR,164323000
2015,LBY,..
2015,LIE,..
2015,LTU,..
2015,LUX,..
2015,MAC,..
2015,MDG,1412191000
2015,MWI,588186000
2015,MYS,..
2015,MDV,92646000
2015,MLI,1349331000
2015,MLT,..
2015,MHL,..
2015,MRT,368571000
2015,MUS,294129000
2015,MEX,14747899000
2015,FSM,..
2015,MDA,570071000
2015,MCO,..
2015,MNG,434330000
2015,MNE,311353000
2015,MAR,4154538000
2015,MOZ,2460788000
2015,MMR,833210000
2015,NAM,..
2015,NRU,..
2015,NPL,1640015000
2015,NLD,..
2015,NCL,..
2015,NZL,..
2015,NIC,532425000
2015,NER,626206000
2015,NGA,6225860000
2015,MKD,656247000
2015,MNP,..
2015,NOR,..
2015,OMN,..
2015,PAK,13783627000
2015,PLW,..
2015,PAN,1028946000
2015,PNG,250211000
2015,PRY,430853000
2015,PER,2714066000
2015,PHL,4661453000
2015,POL,..
2015,PRT,..
2015,PRI,..
2015,QAT,..
2015,ROU,4366591000
2015,RUS,730681000
2015,RWA,861911000
2015,WSM,96099000
2015,SMR,..
2015,STP,12186000
2015,SAU,..
2015,SEN,1597935000
2015,SRB,2515493000
2015,SYC,..
2015,SLE,225691000
2015,SGP,..
2015,SXM,..
2015,SVK,..
2015,SVN,..
2015,SLB,31175000
2015,SOM,411912000
2015,ZAF,1784791000
2015,SSD,..
2015,ESP,..
2015,LKA,2784426000
2015,KNA,..
2015,LCA,81299000
2015,MAF,..
2015,VCT,31957000
2015,SDN,1202930000
2015,SUR,..
2015,SWE,..
2015,CHE,..
2015,SYR,14052000
2015,TJK,315822000
2015,TZA,5399245000
2015,THA,1038577000
2015,TLS,9999000
2015,TGO,30772000
2015,TON,26469000
2015,TTO,..
2015,TUN,2481513000
2015,TUR,11730741000
2015,TKM,3038000
2015,TCA,..
2015,TUV,..
2015,UGA,2509876000
2015,UKR,5590099000
2015,ARE,..
2015,GBR,..
2015,USA,..
2015,URY,..
2015,UZB,598650000
2015,VUT,9107000
2015,VEN,..
2015,VNM,12638337000
2015,VIR,..
2015,PSE,..
2015,YEM,1780328000
2015,ZMB,698021000
2015,ZWE,911501000
2015,AFE,..
2015,AFW,..
2015,ARB,..
2015,CSS,..
2015,CEB,..
2015,EAR,..
2015,EAS,..
2015,EAP,54173676000
2015,TEA,..
2015,EMU,..
2015,ECS,..
2015,ECA,36757512000
2015,TEC,..
2015,EUU,..
2015,FCS,..
2015,HPC,..
2015,HIC,..
2015,IBD,..
2015,IBT,..
2015,IDB,..
2015,IDX,55624472000
2015,IDA,..
2015,LTE,..
2015,LCN,..
2015,LAC,55885249000
2015,TLA,..
2015,LDC,..
2015,LMY,280130753000
2015,LIC,..
2015,LMC,137034854000
2015,MEA,..
2015,MNA,18093304000
2015,TMN,..
2015,MIC,258552533000
2015,NAC,..
2015,INX,..
2015,OED,..
2015,OSS,..
2015,PSS,..
2015,PST,..
2015,PRE,..
2015,SST,..
2015,SAS,66896053000
2015,TSA,..
2015,SSF,..
2015,SSA,48324959000
2015,TSS,..
